id;sexo;edad;provincia;hab;hijos;clase_social;situacion_laboral;educacion;prob_participacion_electoral;prob_voto_partido;partido_afin_ideologicamente;voto_partidario_elecciones_anteriores;escala_iz_der;candidato_edad_ideal;candidato_clasesocial_ideal;candidato_experiencialaboral_ideal;candidato_carreraprofesional_ideal;canditado_honrado;canditado_preparado;canditado_experimentado;canditado_empático;canditado_inteligente;candidato_valiente;candidato_carismatico;candidato_respetuoso;candidato_bueno;candidato_determinado;candidato_egoista;candidato_intransigente;candidato_perezoso;candidato_soberbio;candidato_frívolo;candidato_tranformador;candidato_autoritario;candidato_conciliador;candidato_común;candidato_cercano;candidato_confiable;candidato_cuidadoso;candidato_económico
1;Mujer;25-34;Barcelona;Más de 10.000;Sí, con uno/a de 13 a 17 años;Alta / Media Alta;Trabaja;Tercer grado, segundo ciclo y más;7;PP (Partido Popular);PP (Partido Popular);PP (Partido Popular);7;Me es indiferente;Me es indiferente;Me es indiferente;Me es indiferente;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Santiago Abascal;Pedro Sánchez;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Santiago Abascal;Yolanda Díaz;Santiago Abascal
2;Mujer;65+;Alicante/Alacant;Más de 10.000;No convivo con ningún/a hijo/a;Media;Pensionista;Segundo grado, segundo ciclo;10 con toda seguridad, iría a votar;PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En;2;Menos de 60 años;Me es indiferente;Me es indiferente;Con una carrera profesional dentro de la política;Pedro Sánchez;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Yolanda Díaz;Santiago Abascal;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz
3;Mujer;65+;Madrid;Más de 10.000;No convivo con ningún/a hijo/a;Alta / Media Alta;Trabaja;Tercer grado, segundo ciclo y más;7;PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);3;Menos de 60 años;De clase media-alta o alta;Me es indiferente;Con una carrera profesional fuera de la política;Yolanda Díaz;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Yolanda Díaz;Santiago Abascal;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz
4;Mujer;35-44;Málaga;Más de 10.000;Sí, con uno/a de 0 a 8 años;Media;Trabaja;Tercer grado, primer ciclo;6;PSOE (Partido Socialista Obrero Español);Vox;Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En;4;Menos de 60 años;De clase media-baja o baja;Con experiencia laboral en el sector privado;Con una carrera profesional dentro de la política;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Santiago Abascal;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Pedro Sánchez;Alberto Núñez Feijóo;Pedro Sánchez;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Santiago Abascal
5;Mujer;45-54;Toledo;Más de 10.000;Sí, con uno/a de 18 años o más;Media baja / Baja;Trabajo del hogar no remunerado;Segundo grado, primer ciclo y menos;9;PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);1;Me es indiferente;Me es indiferente;Con experiencia laboral en el sector público;Me es indiferente;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Alberto Núñez Feijóo;Santiago Abascal;Pedro Sánchez;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo
6;Mujer;55-64;Balears, Illes;Más de 10.000;No convivo con ningún/a hijo/a;Media baja / Baja;Parado;Segundo grado, segundo ciclo;2;No votaré;Ninguno;No voté;No lo sé;Me es indiferente;Me es indiferente;Me es indiferente;Con una carrera profesional dentro de la política;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz
7;Mujer;18-24;Barcelona;Más de 10.000;Sí, con uno/a de 13 a 17 años;Media;Trabaja;Segundo grado, segundo ciclo;9;PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);2;Menos de 60 años;De clase media-baja o baja;Me es indiferente;Con una carrera profesional dentro de la política;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Yolanda Díaz;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez
8;Mujer;35-44;Madrid;Más de 10.000;No convivo con ningún/a hijo/a;Media;Trabaja;Tercer grado, segundo ciclo y más;9;Ciudadanos;Ciudadanos;Ciudadanos;4;Menos de 60 años;Me es indiferente;Me es indiferente;Con una carrera profesional fuera de la política;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Alberto Núñez Feijóo;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Santiago Abascal;Yolanda Díaz;Yolanda Díaz;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Alberto Núñez Feijóo
9;Mujer;65+;Madrid;Más de 10.000;Sí, con uno/a de 18 años o más;Media;Pensionista;Segundo grado, segundo ciclo;10 con toda seguridad, iría a votar;PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);5;Menos de 60 años;Me es indiferente;Con experiencia laboral en el sector privado;Con una carrera profesional fuera de la política;Alberto Núñez Feijóo;Pedro Sánchez;Alberto Núñez Feijóo;Yolanda Díaz;Alberto Núñez Feijóo;Santiago Abascal;Yolanda Díaz;Pedro Sánchez;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Yolanda Díaz;Pedro Sánchez;Alberto Núñez Feijóo;Yolanda Díaz;Santiago Abascal
10;Mujer;45-54;Alicante/Alacant;Más de 10.000;No convivo con ningún/a hijo/a;Media;Trabaja;Tercer grado, segundo ciclo y más;0 con toda seguridad, NO iría a votar;No votaré;Ninguno;No voté;5;Menos de 60 años;Me es indiferente;Con experiencia laboral en el sector público;Con una carrera profesional fuera de la política;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Alberto Núñez Feijóo;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Alberto Núñez Feijóo
